# <id> <t.x> <t.y> <t.z> <width> <angle>
0 -0.01646765 -0.003526175 0.0 0.0050 -90.0000
1 -0.01641220 0.0056601000 0.0 0.0050 -90.0000
2 0.028986350 -0.012297700 0.0 0.0075 -70.0000
3 0.028928150 0.0124340500 0.0 0.0075 -23.7513
4 0.012296850 0.0289867000 0.0 0.0075 20.00160
5 -0.01239910 0.0289431000 0.0 0.0075 66.17960
6 -0.02903505 0.0121823000 0.0 0.0075 110.2280
7 -0.03010920 -0.009212950 0.0 0.0075 150.0030
8 -0.01408000 -0.028163700 0.0 0.0075 -163.573
9 0.012271100 -0.028997600 0.0 0.0075 -114.074
10 0.000346194 -0.017069350 0.0 0.0080 -90.000
