# <id> <t.x> <t.y> <t.z> <width> <angle>
0 -32.9353 -7.05235 0.200003 10.0 -90.0
1 -32.8244 11.3202 0.200003 10.0 -90.0
2 57.9727 -24.5954 0.200003 15.0 -70.0
3 57.8563 24.8681 0.200003 15.0 -23.7513
4 24.5937 57.9734 0.200001 15.0 20.0016
5 -24.7982 57.8862 0.199997 15.0 66.1796
6 -58.0701 24.3646 0.199997 15.0 110.228
7 -60.2184 -18.4259 0.199997 15.0 150.003
8 -28.16 -56.3274 0.199997 15.0 -163.573
9 24.5422 -57.9952 0.200001 15.0 -114.074
10 0.692388 -34.1387 0.200005 16.0 -90.0
